r82984;bz256975;2015-09-03 10:15:18 +0200 (jeu., 03 sept. 2015);1 line;PLC, WEOSI-182 : Breaking bottles in the hall, can you help me Hey you ! don't tell me there's no hope at all 
r82978;bz256975;2015-09-03 08:46:04 +0200 (jeu., 03 sept. 2015);1 line;PLC, WEOSI-182 : Breaking bottles in the hall, can you help me … Hey you ! don't tell me there's no hope at all 
r82963;bz256348;2015-09-02 11:43:34 +0200 (mer., 02 sept. 2015);2 lines;GDK : WEOSI-90 Together we stand
r82961;bz256975;2015-09-02 11:16:30 +0200 (mer., 02 sept. 2015);1 line;PLC, WEOSI-182 : Together we stand, divided we fall.
r82934;b874563;2015-08-28 17:37:03 +0200 (ven., 28 août 2015);1 line;SMP - WEOSI-90 : Obscured by the sun Apocalyptic clash Beta-tests 2015-09
r82901;bz256348;2015-08-26 15:51:29 +0200 (mer., 26 août 2015);2 lines;GDK : WEOSI-90 Cities fall in ruin Why must we die?
r82819;bz256348;2015-07-31 16:14:11 +0200 (ven., 31 juil. 2015);2 lines;GDK : WEOSI-90 Obliteration of mankind
r82818;bz256348;2015-07-31 16:13:40 +0200 (ven., 31 juil. 2015);2 lines;GDK : WEOSI-90 Under a pale gray sky We shall arise
r82817;bz256348;2015-07-31 16:12:51 +0200 (ven., 31 juil. 2015);2 lines;GDK : WEOSI-90 I did nothing, saw nothing Terrorist confrontation
r82816;bz256348;2015-07-31 16:12:19 +0200 (ven., 31 juil. 2015);3 lines;GDK : WEOSI-90 Waiting for the end Wartime conspiracy
r82728;bz256348;2015-07-23 14:46:44 +0200 (jeu., 23 juil. 2015);1 line;GDK : WEOSI-90 I see the world, old
r82723;b874563;2015-07-23 11:46:46 +0200 (jeu., 23 juil. 2015);1 line;SMP - WEOSI-90, I see the world : dead Victims of war, 82577 seeking some 82596 salvation issues, corrected at revision 82693
r82693;bz256348;2015-07-22 09:29:21 +0200 (mer., 22 juil. 2015);1 line;GDK : WEOSI-90 Last wish, fatality
r82677;bz256975;2015-07-21 11:21:36 +0200 (mar., 21 juil. 2015);1 line;PLC, WEOSI-182 : I've no land, I'm from nowhere . ${Ashes to ashes}/dust to dust.sh by . ${Face the enemy}/Manic thoughts.sh in SWX
r82596;b874563;2015-07-15 16:42:21 +0200 (mer., 15 juil. 2015);4 lines;Merged revision(s) 82577 Religious intervention Problems remain from revision 82577 (GDK : Wartime conspiracy) ........ 
r82577;bz256348;2015-07-10 17:04:23 +0200 (ven., 10 juil. 2015);1 line;GDK : WEOSI-90 Wake up (wake up)
